Domain,tau,H_star,d0,churn,H_min,tau_hat,S_size,success,refusal,infeasible_support,empty_pool_hit,cover_frac
E-health,0.1,3,3,0.4,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,3,0.4,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,4,1,0.0,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,1,0.0,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,1,0.0,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,1,0.0,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,1,0.0,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,1,0.2,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,1,0.2,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,1,0.2,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,1,0.2,4.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,4,1,0.2,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,1,0.4,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,1,0.4,4.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,4,1,0.4,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,1,0.4,4.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,4,1,0.4,4.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,4,2,0.0,4.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,4,2,0.0,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,2,0.0,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,2,0.0,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,2,0.0,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,2,0.2,4.0,0.0625,16,1,0,0,0,0.3125
E-health,0.1,4,2,0.2,4.0,0.0625,16,1,0,0,0,0.3125
